"table_name","column_name","data_type","character_maximum_length","column_default","is_nullable"
"article_media","id","uuid","null","uuid_generate_v4()","NO"
"article_media","article_id","uuid","null","null","NO"
"article_media","media_type","text","null","null","NO"
"article_media","url","text","null","null","NO"
"article_media","alt_text","text","null","null","YES"
"article_media","position","integer","null","null","YES"
"article_media","created_at","timestamp with time zone","null","now()","NO"
"articles","id","uuid","null","uuid_generate_v4()","NO"
"articles","author_id","uuid","null","null","NO"
"articles","title","text","null","null","NO"
"articles","content","text","null","null","NO"
"articles","hero_image","text","null","null","YES"
"articles","status","text","null","'draft'::text","NO"
"articles","view_count","integer","null","0","NO"
"articles","download_count","integer","null","0","NO"
"articles","created_at","timestamp with time zone","null","now()","NO"
"articles","updated_at","timestamp with time zone","null","now()","NO"
"files","id","uuid","null","uuid_generate_v4()","NO"
"files","article_id","uuid","null","null","NO"
"files","filename","text","null","null","NO"
"files","file_path","text","null","null","NO"
"files","file_size","integer","null","null","NO"
"files","file_type","text","null","null","NO"
"files","download_count","integer","null","0","NO"
"files","created_at","timestamp with time zone","null","now()","NO"
"users","id","uuid","null","null","NO"
"users","name","text","null","null","NO"
"users","avatar_url","text","null","null","YES"
"users","created_at","timestamp with time zone","null","now()","NO"
"users","updated_at","timestamp with time zone","null","now()","NO"